iter	RMSE
182	8707991.348
183	8694945.934
184	8681491.85
185	8672865.459
186	8659832.764
187	8641943.124
188	8626948.337
189	8617092.429
190	8601675.781
191	8588515.617
192	8573552.912
193	8565969.753
194	8554903.028
195	8546481.911
196	8535056.406
197	8529408.559
198	8516074.733
199	8506048.877
200	8497384.221
201	8488246.862
202	8476753.945
203	8464099.89
204	8451302.05
205	8439864.291
206	8425762.415
207	8417591.427
208	8406265.409
209	8397236.559
210	8388047.26
211	8377291.412
212	8368590.407
213	8360436.927
214	8349866.209
215	8342992.665
216	8331132.888
217	8320135.392
218	8306931.351
219	8290252.751
220	8281878.51
221	8269386.404
222	8259284.142
223	8245484.82
224	8239427.203
225	8229883.063
226	8220610.037
227	8211134.559
228	8200777.379
229	8192932.628
230	8185206.879
231	8173095.609
232	8159415.022
233	8151302.895
234	8138497.348
235	8127540.357
236	8116131.165
237	8105335.843
238	8098315.085
239	8086369.482
240	8080730.438
241	8072978.643
242	8059062.555
243	8047140.07
244	8035485.044
245	8025591.671
246	8014604.919
247	8006562.001
248	7998223.932
249	7991213.329
250	7985497.952
251	7977516.843
252	7968643.158
253	7959342.992
254	7952241.288
255	7943422.958
256	7927965.408
257	7924359.453
258	7919643.763
259	7910043.178
260	7903435.528
261	7897246.85
262	7889698.503
263	7881081.782
264	7874177.742
265	7865558.33
266	7855243.355
267	7844977.868
268	7836928.251
269	7830664.151
270	7822529.68
271	7814453.801
272	7805091.157
273	7797328.912
274	7792444.734
275	7786381.321
276	7777976.68
277	7769145.069
278	7763696.764
279	7757715.004
280	7745978.873
281	7738331.608
282	7727574.377
283	7721120.941
284	7715454.715
285	7708761.561
286	7700297.603
287	7691541.947
288	7686523.649
289	7673564.897
290	7666265.973
291	7657771.729
292	7648954.569
293	7642111.056
294	7635186.554
295	7626168.018
296	7614118.56
297	7608552.155
298	7601036.504
299	7595998.712
300	7586985.759
301	7580624.067
302	7574166.663
303	7569220.037
304	7563354.258
305	7556277.376
306	7550533.445
307	7543595.059
308	7538362.408
309	7531235.435
310	7525376.752
311	7519741.563
312	7516563.341
313	7510712.847
314	7506295.931
315	7499684.869
316	7494551.982
317	7487278.765
318	7479853.501
319	7475589.112
320	7468836.97
321	7464438.122
322	7456814.67
323	7451102.042
324	7443883.984
325	7437615.464
326	7430026.962
327	7423937.495
328	7416769.922
329	7411180.188
330	7406187.35
331	7399723.996
332	7394278.096
333	7385288.302
334	7377736.802
335	7373248.816
336	7367830.713
337	7359287.129
338	7355020.84
339	7352171.704
340	7342399.77
341	7335609.277
342	7332292.929
343	7326372.816
344	7323451.745
345	7321025.77
346	7317942.913
347	7312727.326
348	7309109.4
349	7303057.264
350	7296082.823
351	7289530.512
352	7282365.983
353	7279430.49
354	7272332.812
355	7267264.01
356	7259973.759
357	7256958.246
358	7250505.928
359	7243564.611
360	7237269.62
361	7232034.077
362	7228678.371
363	7221446.658
364	7216752.626
365	7211865.703
366	7209583.6
367	7207360.812
368	7202323.416
369	7196649.972
370	7191388.481
371	7185051.511
372	7179712.453
373	7175897.321
374	7170566.95
375	7168018.555
376	7158738.045
377	7154221.2
378	7148110.249
379	7139444.973
380	7128418.437
381	7123226.245
382	7116225.741
383	7111765.961
384	7104960.419
385	7099257.395
386	7091305.118
387	7086037.834
388	7083021.554
389	7077871.048
390	7074123.839
391	7067104.488
392	7060560.384
393	7055986.32
394	7051654.657
395	7047302.652
396	7041531.934
397	7036563.298
398	7031881.309
399	7028967.504
400	7022726.809
401	7016641.919
402	7009648.558
403	7003331.034
404	6997334.379
405	6994263.619
406	6991107.582
407	6985602.29
408	6978564.788
409	6975407.159
410	6969876.237
411	6964595.754
412	6958200.07
413	6954072.098
414	6949680.995
415	6943787.738
416	6939752.197
417	6935008.663
418	6930925.05
419	6926406.369
420	6920197.355
421	6916075.338
422	6909433.605
423	6899968.137
424	6896433.602
425	6891774.762
426	6888854.856
427	6883467.921
428	6879876.933
429	6873720.614
430	6870255.786
431	6863433.546
432	6859945.613
433	6853431.225
434	6849267.552
435	6844452.513
436	6837288.472
437	6832321.277
438	6830338.22
439	6828074.216
440	6823389.63
441	6818234.339
442	6815089.458
443	6810726.795
444	6803559.107
445	6798361.699
446	6792398.844
447	6787527.935
448	6781027.924
449	6776841.808
450	6772237.805
451	6766357.401
452	6759829.628
453	6756060.988
454	6750881.653
455	6742911.008
456	6739713.815
457	6733833.453
458	6729870.762
459	6725944.926
460	6721015.382
461	6716921.28
462	6713683.317
463	6706698.803
464	6703286.738
465	6696957.728
466	6693305.559
467	6686682.957
468	6682797.647
469	6677476.167
470	6671740.068
471	6667448.743
472	6664296.725
473	6660332.205
474	6655330.518
475	6652015.462
476	6647214.661
477	6643014.098
478	6639042.24
479	6637090.138
480	6634673.443
481	6631463.685
482	6626064.592
483	6619212.514
484	6616073.639
485	6611501.408
486	6608475.002
487	6605506.866
488	6600740.069
489	6595965.463
490	6592074.642
491	6586719.094
492	6582559.35
493	6578976.549
494	6572742.404
495	6569849.233
496	6565708.467
497	6561785.372
498	6555834.795
499	6552434.837
500	6549181.285
501	6545787.382
502	6540817.434
503	6536788.01
504	6533332.179
505	6529978.562
506	6526438.446
507	6521137.581
508	6517667.123
509	6515060.15
510	6510949.956
511	6508679.817
512	6505852.041
513	6502930.857
514	6497955.459
515	6495885.968
516	6492904.967
517	6488994.727
518	6486140.225
519	6484341.356
520	6481119.63
521	6478235.89
522	6473968.847
523	6466959.168
524	6462261.884
525	6459011.022
526	6455398.754
527	6450303.656
528	6445840.686
529	6443331.42
530	6438978.292
531	6435296.176
532	6430968.158
533	6428273.924
534	6425841.36
535	6423114.59
536	6419504.193
537	6416636.766
538	6413814.964
539	6409679.624
540	6406832.641
541	6403841.882
542	6399565.861
543	6394939.925
544	6392252.673
545	6387762.93
546	6384487.011
547	6378645.507
548	6375789.407
549	6372856.96
550	6370156.811
551	6367451.064
552	6365281.399
553	6362504.308
554	6359655.81
555	6356317.237
556	6352737.871
557	6348322.83
558	6343576.379
559	6340216.034
560	6337065.14
561	6334026.783
562	6331452.237
563	6328461.496
564	6325820.659
565	6322214.587
566	6320283.237
567	6317131.023
568	6313204.313
569	6310359.332
570	6305570.633
571	6301437.739
572	6299089.458
573	6295423.241
574	6292167.256
575	6289268.305
576	6286601.586
577	6283121.735
578	6280104.184
579	6277021.595
580	6274411.162
581	6269177.595
582	6265950.559
583	6262036.963
584	6258116.66
585	6254889.682
586	6250681.558
587	6247844.745
588	6245211.509
589	6242698.245
590	6240320.141
591	6237434.38
592	6235110.356
593	6230882.704
594	6226706.02
595	6223587.177
596	6219946.815
597	6217197.883
598	6213554.567
599	6211552.774
600	6207951.693
601	6205393.397
602	6201880.446
603	6198242.285
604	6196318.686
605	6192629.986
606	6189975.745
607	6189096.807
608	6186354.398
609	6180839.093
610	6177547.755
611	6175151.533
612	6171269.452
613	6168559.809
614	6164583.578
615	6162531.657
616	6160639.457
617	6158322.642
618	6155741.058
619	6149140.861
620	6146617.256
621	6142340.813
622	6138472.879
623	6136071.155
624	6133296.57
625	6130644.279
626	6127302.594
627	6123506.747
628	6120024.13
629	6116282.334
630	6112880.25
631	6109562.596
632	6106959.056
633	6104095.007
634	6100767.473
635	6097422.679
636	6096222.566
637	6093155.168
638	6088171.122
639	6084599.416
640	6081941.221
641	6078542.84
642	6075845.629
643	6072740.389
644	6070098.49
645	6067315.284
646	6063004.859
647	6060362.855
648	6058261.598
649	6055898.45
650	6052882.637
651	6050009.925
652	6047058.719
653	6044525.748
654	6041829.803
655	6039299.182
656	6035945.184
657	6033303.419
658	6031693.285
659	6028167.615
660	6026831.777
661	6023805.553
662	6019686.822
663	6015753.618
664	6013674.616
665	6009578.588
666	6007216.54
667	6005705.293
668	6003778.908
669	6000817.38
670	5998410.851
671	5995698.942
672	5991959.399
673	5988164.896
674	5985432.373
675	5982280.451
676	5978397.392
677	5975489.994
678	5973068.034
679	5969653.607
680	5964798.266
681	5961851.208
682	5959469.731
683	5954582.737
684	5950840.456
685	5947171.52
686	5945095.565
687	5941511.63
688	5939652.357
689	5937552.358
690	5935437.013
691	5932326.373
692	5930326.262
693	5928011.563
694	5925914.004
695	5924172.527
696	5920650.363
697	5918739.995
698	5916450.203
699	5912433.38
700	5909891.608
701	5906850.518
702	5902244.043
703	5900206.435
704	5896946.973
705	5894324.63
706	5891186.715
707	5887422.639
708	5885246.168
709	5880889.075
710	5877528.826
711	5875219.078
712	5869932.48
713	5866958.709
714	5864723.181
715	5862928.358
716	5860949.81
717	5858628.127
718	5855258.753
719	5853552.309
720	5851048.955
721	5849457.653
722	5845663.197
723	5843421.25
724	5841382.061
725	5838890.508
726	5835674.793
727	5832045.989
728	5829202.471
729	5826623.19
730	5823632.984
731	5820371.784
732	5816307.248
733	5814222.012
734	5811812.462
735	5809710.622
736	5808060.039
737	5804315.794
738	5799817.943
739	5797090.523
740	5793191.874
741	5789524.497
742	5787676.312
743	5786193.028
744	5783289.319
745	5779868.586
746	5775114.1
747	5772475.445
748	5770280.462
749	5768051.937
750	5765424.58
751	5762084.509
752	5758256.069
753	5755059.36
754	5752417.262
755	5751421.913
756	5747491.37
757	5745316.156
758	5742526.698
759	5740953.633
760	5739511.771
761	5737191.965
762	5734941.125
763	5733385.094
764	5731129.368
765	5728462.086
766	5725191.486
767	5723043.097
768	5719967.81
769	5717574.045
770	5714241.732
771	5711307.844
772	5709556.908
773	5707175.34
774	5705466.488
775	5703571.937
776	5702004.334
777	5700289.826
778	5697135.818
779	5694530.457
780	5691356.699
781	5689206.598
782	5686180.813
783	5683757.732
784	5681166.352
785	5679410.362
786	5676459.006
787	5673462.275
788	5671537.087
789	5669133.582
790	5664767.221
791	5661720.365
792	5658935.801
793	5656605.906
794	5653503.777
795	5651707.231
796	5648374.171
797	5646173.523
798	5642705.213
799	5640919.558
800	5638169.792
801	5635428.317
802	5631081.42
803	5628424.17
804	5626436.009
805	5622353.154
806	5620681.295
807	5618440.168
808	5615509.949
809	5613248.666
810	5609664.437
811	5607198.977
812	5604636.77
813	5601654.92
814	5599242.989
815	5596950.649
816	5595496.337
817	5592440.494
818	5590050.929
819	5587726.334
820	5585844.474
821	5583626.688
822	5580726.885
823	5577623.436
824	5575640.959
825	5573344.795
826	5570876.236
827	5567317.065
828	5565138.179
829	5562618.466
830	5560779.502
831	5559477.568
832	5557690.178
833	5555788.869
834	5552234.232
835	5549103.941
836	5545482.271
837	5542990.551
838	5540831.597
839	5537494.608
840	5534879.64
841	5531688.732
842	5530365.616
843	5527294.675
844	5525694.168
845	5524220.463
846	5521446.711
847	5518847.768
848	5516041.172
849	5514193.087
850	5511428.158
851	5508562.763
852	5505874.92
853	5503755.018
854	5502177.983
855	5499018.406
856	5496408.019
857	5495084.36
858	5493048.345
859	5489737.346
860	5488151.678
861	5486395.825
862	5484412.453
863	5482172.865
864	5479636.786
865	5476654.871
866	5473808.473
867	5471095.42
868	5469398.164
869	5467844.342
870	5466103.221
871	5464377.553
872	5461111.197
873	5459407.116
874	5458461.12
875	5457110.403
876	5454196.204
877	5452132.284
878	5450150.801
879	5448268.87
880	5445909.525
881	5442108.356
882	5440577.309
883	5437882.543
884	5436646.263
885	5435125.049
886	5433722.195
887	5432078.648
888	5429500.518
889	5428429.082
890	5426695.619
891	5424358.242
892	5422345.528
893	5419808.523
894	5418161.395
895	5414604.287
896	5412487.353
897	5409938.268
898	5408528.16
899	5406375.597
900	5404214.721
901	5401960.57
902	5400761.894
903	5398515.404
904	5395956.532
905	5393822.424
906	5391821.361
907	5389702.826
908	5388805.25
909	5387391.943
910	5386170.271
911	5384559.177
912	5382820.967
913	5381500.96
914	5379493.339
915	5375917.176
916	5374203.267
917	5370362.434
918	5369716.576
919	5367460.892
920	5365094.288
921	5361896.777
922	5360597.374
923	5357965.411
924	5357143.183
925	5356251.361
926	5353748.798
927	5351737.082
928	5349544.709
929	5346887.504
930	5344297.531
931	5342702.607
932	5341210.887
933	5339569.847
934	5338049.348
935	5336306.177
936	5334523.776
937	5332810.569
938	5328124.681
939	5326547.661
940	5324808.805
941	5323814.433
942	5320904.163
943	5318616.151
944	5316381.567
945	5314103.984
946	5309641.871
947	5307819.569
948	5306134.466
949	5303552.213
950	5301575.026
951	5299785.729
952	5298045.14
953	5295915.241
954	5294299.806
955	5293178.775
956	5290781.344
957	5288739.421
958	5287393.727
959	5284653.873
960	5282031.611
961	5280970.899
962	5278671.67
963	5277387.623
964	5274981.953
965	5273174.085
966	5271136.467
967	5268449.629
968	5266536.888
969	5264817.763
970	5262278.548
971	5260684.507
972	5259791.551
973	5257662.726
974	5255841.428
975	5252241.668
976	5250789.632
977	5249616.635
978	5248675.543
979	5246860.637
980	5244966.499
981	5243959.19
982	5243229.805
983	5241515.677
984	5239866.077
985	5238673.372
986	5237007.918
987	5235500.924
988	5234310.243
989	5232718.123
990	5230580.156
991	5228545.303
992	5227127.064
993	5225311.939
994	5222736.474
995	5221002.73
996	5219906.622
997	5218689.722
998	5216491.452
999	5214782.461
